round,id_dt_ib,iso,name_dt_round,names
cen1961,0520,AP,visakhapatnam,visakhapatnam
cen1961,0523,AP,westgodavari,westgodavari
cen1961,99900007,AP,adilabad,adilabad
cen1961,99900008,AP,anantapur,anantapur
cen1961,99900009,AP,cuddapah,cuddapah
cen1961,99900010,AP,hyderabad,hyderabad
cen1961,99900011,AP,karimnagar,karimnagar
cen1961,99900012,AP,khammam,khammam
cen1961,99900013,AP,mahbubnagar,mahbubnagar
cen1961,99900014,AP,medak,medak
cen1961,99900015,AP,nalgonda,nalgonda
cen1961,99900016,AP,nellore,"nellore,nellohe"
cen1961,99900017,AP,nizamabad,nizamabad
cen1961,99900021,AP,warangal,warangal
cen1961,0234,AR,lohit,lohit
cen1961,0239,AR,tirap,tirap
cen1961,0679,AR,siang,siang
cen1961,99900024,AR,kameng,kameng
cen1961,99900026,AR,subansiri,subansiri
cen1961,0282,AS,cachar,cachar
cen1961,0283,AS,darrang,darrang
cen1961,0287,AS,goalpara,goalpara
cen1961,0291,AS,kamrup,kamrup
cen1961,0295,AS,lakhimpur,lakhimpur
cen1961,99900029,AS,garohills,"garohills,meghalayagarohills"
cen1961,99900033,AS,mizohills,mizohills
cen1961,99900036,AS,nowgong,nowgong
cen1961,99900037,AS,sibsagar,sibsagar
cen1961,99900038,AS,unitedkhasijaintiahills,unitedkhasijaintiahills
cen1961,99900039,AS,unitedmikirnorthcacharhills,"unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
cen1961,0192,BR,bhagalpur,bhagalpur
cen1961,0195,BR,darbhanga,darbhanga
cen1961,0196,BR,gaya,gaya
cen1961,0207,BR,munger,"monghyar,monghyr"
cen1961,0208,BR,muzaffarpur,muzaffarpur
cen1961,0212,BR,patna,patna
cen1961,0214,BR,purnia,"purnia,purnea"
cen1961,0216,BR,saharsa,saharsa
cen1961,0218,BR,saran,saran
cen1961,99900040,BR,champaran,champaran
cen1961,99900042,BR,dhanbad,dhanbad
cen1961,99900047,BR,hazaribag,"hazaribag,hazaribagh"
cen1961,99900052,BR,palamau,palamau
cen1961,99900059,BR,ranchi,ranchi
cen1961,99900063,BR,santhalparganas,"santhalparganas,santalparganas,12santalparganas,12 santal parganas"
cen1961,99900064,BR,shahabad,shahabad
cen1961,99900065,BR,singhbhum,singhbhum
cen1961,99900067,DH,dadranagarhaveli,dadranagarhaveli
cen1961,99900069,DL,delhi,delhi
cen1961,99900077,GA,daman,daman
cen1961,99900078,GA,diu,diu
cen1961,99900079,GA,goa,goa
cen1961,0439,GJ,amreli,amreli
cen1961,0441,GJ,banaskantha,banaskantha
cen1961,0443,GJ,bhavnagar,bhavnagar
cen1961,0447,GJ,jamnagar,jamnagar
cen1961,0448,GJ,junagadh,junagadh
cen1961,0454,GJ,panchmahals,panchmahals
cen1961,0457,GJ,rajkot,rajkot
cen1961,0458,GJ,sabarkantha,sabarkantha
cen1961,0459,GJ,surat,surat
cen1961,0460,GJ,surendranagar,surendranagar
cen1961,99900080,GJ,ahmedabad,ahmedabad
cen1961,99900081,GJ,baroda,baroda
cen1961,99900082,GJ,broach,broach
cen1961,99900084,GJ,dangs,dangs
cen1961,99900088,GJ,kaira,"kaira,kheda"
